Afghanistan,39045465
Albania,2877342
Algeria,43958573
Andorra,77283
Angola,32998397
Anguilla,15022
Antigua and Barbuda,98043
Argentina,45253865
Armenia,2964038
Aruba,106831
Australia,25540986
Austria,9013679
Azerbaijan,10151985
Bahamas,393770
Bahrain,1709107
Bangladesh,164918594
Barbados,287426
Belarus,9448874
Belgium,11596801
Belize,398608
Benin,12165034
Bermuda,62244
Bhutan,772791
Bolivia,11694986
Bosnia and Herzegovina,3277818
Botswana,2358025
Brazil,212772522
British Virgin Islands,30259
Brunei,438065
Bulgaria,6940723
Burkina Faso,20978430
Burundi,11936793
Cabo Verde,556828
Cambodia,16750860
Cameroon,26633352
Canada,37788569
CAR,4841198
Caribbean Netherlands,26257
Cayman Islands,65829
Chad,16487361
Channel Islands,174087
Chile,19139231
China,1439323776
Colombia,50958476
Comoros,872087
Congo,5536089
Costa Rica,5100635
Croatia,4101544
Cuba,11325616
Curaçao,164189
Cyprus,1208598
Czechia,10711831
Denmark,5795113
Diamond Princess,
Djibouti,989976
Dominica,72012
Dominican Republic,10863103
DRC,89914278
Ecuador,17679810
Egypt,102595748
El Salvador,6490852
Equatorial Guinea,1408900
Eritrea,3553187
Estonia,1326663
Eswatini,1161840
Ethiopia,115340796
Faeroe Islands,48889
Falkland Islands,3493
Fiji,897361
Finland,5541956
France,65294208
French Guiana,299703
French Polynesia,281138
Gabon,2232722
Gambia,2425547
Georgia,3988055
Germany,83822211
Ghana,31160119
Gibraltar,33690
Greece,10415597
Greenland,56784
Grenada,112597
Guadeloupe,400134
Guatemala,17960500
Guinea,13179557
Guinea-Bissau,1974189
Guyana,787091
Haiti,11421799
Honduras,9926165
Hong Kong,7505531
Hungary,9656783
Iceland,341556
India,1381900601
Indonesia,273926831
Iran,84141682
Iraq,40343106
Ireland,4945460
Isle of Man,85097
Israel,9197590
Italy,60448938
Ivory Coast,26464801
Jamaica,2963006
Japan,126420061
Jordan,10217286
Kazakhstan,18807869
Kenya,53929815
Kuwait,4279248
Kyrgyzstan,6538894
Laos,7290079
Latvia,1883087
Lebanon,6820973
Lesotho,2144638
Liberia,5073503
Libya,6884183
Liechtenstein,38144
Lithuania,2716576
Luxembourg,627370
Macao,650556
Madagascar,27784978
Malawi,19195165
Malaysia,32423367
Maldives,541839
Mali,20326904
Malta,441711
Martinique,375223
Mauritania,4665754
Mauritius,1272071
Mayotte,273689
Mexico,129121642
Moldova,4032600
Monaco,39281
Mongolia,3285510
Montenegro,628077
Montserrat,4992
Morocco,36971284
Mozambique,31369989
MS Zaandam,
Myanmar,54461313
Namibia,2547153
Nepal,29207992
Netherlands,17140305
New Caledonia,285882
New Zealand,5002100
Nicaragua,6635492
Niger,24317564
Nigeria,206816326
North Macedonia,2083362
Norway,5427206
Oman,5123786
Pakistan,221471926
Palestine,5117213
Panama,4324067
Papua New Guinea,8969965
Paraguay,7144681
Peru,33035148
Philippines,109782500
Poland,37840609
Portugal,10192380
Qatar,2807805
Romania,19218793
Russia,145943480
Rwanda,12994745
Réunion,896213
S. Korea,51275535
Saint Kitts and Nevis,53252
Saint Lucia,183746
Saint Martin,38756
Saint Pierre Miquelon,5790
San Marino,33941
Sao Tome and Principe,219711
Saudi Arabia,34888154
Senegal,16802022
Serbia,8732229
Seychelles,98433
Sierra Leone,7998830
Singapore,5856815
Sint Maarten,42944
Slovakia,5460023
Slovenia,2078979
Somalia,15951255
South Africa,59412210
South Sudan,11211949
Spain,46757388
Sri Lanka,21426033
St. Barth,9881
St. Vincent Grenadines,110990
Sudan,43985607
Suriname,587369
Sweden,10108172
Switzerland,8663543
Syria,17557074
Taiwan,23822960
Tajikistan,9566269
Tanzania,59956393
Thailand,69825052
Timor-Leste,1321843
Togo,8304555
Trinidad and Tobago,1400135
Tunisia,11835866
Turkey,84465504
Turks and Caicos,38789
UAE,9906975
Uganda,45927340
UK,67936614
Ukraine,43695147
Uruguay,3475448
US,331277530
Uzbekistan,33535914
Vatican City,801
Venezuela,28424212
Vietnam,97461327
Western Sahara,599286
Yemen,29913881
Zambia,18451311
Zimbabwe,14892674
